label,m,n,k,ms_median,ms_mean,ms_std,max_abs,max_rel,rmse,metadata
pytorch_eager,4096,4096,4096,0.25040000677108765,0.2505694539709525,0.0015732754854428698,8.0,2.5,0.8671875,
pytorch_compile,4096,4096,4096,0.24320000410079956,0.24327564581495817,0.0010135243878947773,8.0,2.5,0.8671875,
cutedsl,4096,4096,4096,0.20158399641513824,0.2023637943182673,0.0025973415715279317,8.0,2.28515625,0.67578125,
helion_dot,4096,4096,4096,0.2136479988694191,0.21208428587054923,0.003171132792962411,8.0,2.28515625,0.67578125,
