kernel,tokens,d_model,hidden_dim,dtype,ms,gb_per_s,max_abs,max_rel,mean_rel
pytorch_eager,512,4096,4096,bfloat16,0.0709,1065.0,297.093750,0.0266,0.001358
pytorch_eager,2048,4096,4096,bfloat16,0.2194,458.9,297.117188,0.0427,0.001357
pytorch_eager,8192,4096,4096,bfloat16,0.9132,220.5,333.300781,0.0587,0.001357
pytorch_eager,8192,8192,8192,bfloat16,3.3852,158.6,722.031250,0.3839,0.001322
pytorch_eager,32768,4096,8192,bfloat16,7.3945,127.1,452.820312,0.0813,0.001357
pytorch_eager,65536,4096,8192,bfloat16,14.8903,117.2,398.792969,0.0889,0.001357
pytorch_compile_separate,512,4096,4096,bfloat16,0.0628,1203.0,297.093750,0.0266,0.001332
pytorch_compile_separate,2048,4096,4096,bfloat16,0.1987,506.7,297.117188,0.0427,0.001331
pytorch_compile_separate,8192,4096,4096,bfloat16,0.8103,248.5,333.300781,0.0587,0.001331
pytorch_compile_separate,8192,8192,8192,bfloat16,3.1641,169.7,722.031250,0.3839,0.001303
pytorch_compile_separate,32768,4096,8192,bfloat16,6.9530,135.1,452.820312,0.0813,0.001331
pytorch_compile_separate,65536,4096,8192,bfloat16,14.1107,123.7,398.792969,0.0889,0.001331
pytorch_compile_stacked,512,4096,4096,bfloat16,0.1040,725.9,297.093750,0.0266,0.001332
pytorch_compile_stacked,2048,4096,4096,bfloat16,0.2459,409.3,297.117188,0.0427,0.001331
pytorch_compile_stacked,8192,4096,4096,bfloat16,0.8464,237.9,333.300781,0.0587,0.001331
pytorch_compile_stacked,8192,8192,8192,bfloat16,3.4470,155.8,722.031250,0.3839,0.001303
pytorch_compile_stacked,32768,4096,8192,bfloat16,7.2782,129.1,452.820312,0.0813,0.001331
pytorch_compile_stacked,65536,4096,8192,bfloat16,15.2451,114.5,398.792969,0.0889,0.001331
cutedsl,512,4096,4096,bfloat16,0.1091,692.2,128.316406,0.0286,0.000762
cutedsl,2048,4096,4096,bfloat16,0.3159,318.6,128.382812,0.0408,0.000761
cutedsl,8192,4096,4096,bfloat16,1.1504,175.0,243.718750,0.0587,0.000761
cutedsl,8192,8192,8192,bfloat16,4.4236,121.4,257.312500,0.3799,0.000756
cutedsl,32768,4096,8192,bfloat16,10.1137,92.9,214.015625,0.0804,0.000761
cutedsl,65536,4096,8192,bfloat16,20.3482,85.7,249.093750,0.0850,0.000761
cutedsl_pipelined,512,4096,4096,bfloat16,0.0739,1021.4,128.316406,0.0286,0.000762
cutedsl_pipelined,2048,4096,4096,bfloat16,0.2661,378.3,128.382812,0.0408,0.000761
cutedsl_pipelined,8192,4096,4096,bfloat16,1.0617,189.6,243.718750,0.0587,0.000761
cutedsl_pipelined,8192,8192,8192,bfloat16,4.0604,132.2,257.312500,0.3799,0.000756
cutedsl_pipelined,32768,4096,8192,bfloat16,9.7870,96.0,214.015625,0.0804,0.000761
cutedsl_pipelined,65536,4096,8192,bfloat16,19.8194,88.0,249.093750,0.0850,0.000761
helion,512,4096,4096,bfloat16,0.1353,558.0,128.316406,0.0451,0.000764
helion,2048,4096,4096,bfloat16,0.5314,189.4,128.382812,0.0617,0.000763
helion,8192,4096,4096,bfloat16,2.0884,96.4,243.718750,0.0899,0.000764
helion,8192,8192,8192,bfloat16,9.7181,55.2,258.507812,0.6456,0.000765
helion,32768,4096,8192,bfloat16,16.0320,58.6,214.015625,0.1555,0.000763
